"x","y","sigmaNovelty","cell","EEZ"
11.625,79.875,0.314148312274369,20,"Svalbard Exclusive Economic Zone"
11.875,79.875,0.288251197641352,20,"Svalbard Exclusive Economic Zone"
9.875,78.125,0.108815809559285,47,"Svalbard Exclusive Economic Zone"
10.125,78.125,0.0492832760655217,47,"Svalbard Exclusive Economic Zone"
10.375,78.125,0.0629352659895403,47,"Svalbard Exclusive Economic Zone"
10.625,78.125,0.123692888913493,47,"Svalbard Exclusive Economic Zone"
9.625,77.875,0.00472062637010533,47,"Svalbard Exclusive Economic Zone"
9.875,77.875,0.0172079146381094,47,"Svalbard Exclusive Economic Zone"
10.125,77.875,0.034718125830876,47,"Svalbard Exclusive Economic Zone"
10.375,77.875,0.0333429432738322,47,"Svalbard Exclusive Economic Zone"
10.625,77.875,0.0498295590591235,47,"Svalbard Exclusive Economic Zone"
10.875,77.875,0.0629154838384207,47,"Svalbard Exclusive Economic Zone"
9.625,77.625,0.00584241256279901,47,"Svalbard Exclusive Economic Zone"
9.875,77.625,0.00959377169224905,47,"Svalbard Exclusive Economic Zone"
10.125,77.625,0.00152007273849211,47,"Svalbard Exclusive Economic Zone"
10.375,77.625,0.0213561786724404,47,"Svalbard Exclusive Economic Zone"
10.625,77.625,0.0675523277707954,47,"Svalbard Exclusive Economic Zone"
10.875,77.625,0.0496631627404174,47,"Svalbard Exclusive Economic Zone"
9.875,77.375,0.0202317390349282,21,"Svalbard Exclusive Economic Zone"
10.125,77.375,0.00384036807686092,21,"Svalbard Exclusive Economic Zone"
10.375,77.375,0.00153133189356824,21,"Svalbard Exclusive Economic Zone"
10.625,77.375,0.0125218937039988,21,"Svalbard Exclusive Economic Zone"
17.625,77.375,0.00912352466012313,9397,"Svalbard Exclusive Economic Zone"
17.875,77.375,0.0039450577921903,9397,"Svalbard Exclusive Economic Zone"
37.125,77.375,0.0188483884830512,9368,"Svalbard Exclusive Economic Zone"
37.375,77.375,0.0203786493381792,9368,"Svalbard Exclusive Economic Zone"
13.875,77.125,0.00353515392782739,21,"Svalbard Exclusive Economic Zone"
14.125,77.125,0.000276752150184269,21,"Svalbard Exclusive Economic Zone"
14.375,77.125,5.30755745171809e-05,21,"Svalbard Exclusive Economic Zone"
14.625,77.125,0.000322751129881996,21,"Svalbard Exclusive Economic Zone"
17.625,77.125,0.0152195963087205,9397,"Svalbard Exclusive Economic Zone"
17.875,77.125,0.0146118581179049,9397,"Svalbard Exclusive Economic Zone"
37.125,77.125,0.00615996411476017,9368,"Svalbard Exclusive Economic Zone"
37.375,77.125,0.00738825769468917,9368,"Svalbard Exclusive Economic Zone"
12.625,76.875,0.145433006043448,21,"Svalbard Exclusive Economic Zone"
12.875,76.875,0.0336716797737209,21,"Svalbard Exclusive Economic Zone"
13.625,76.875,0.119578139641875,21,"Svalbard Exclusive Economic Zone"
13.875,76.875,0.0298505310459069,21,"Svalbard Exclusive Economic Zone"
14.125,76.875,0.00601812593942637,21,"Svalbard Exclusive Economic Zone"
14.375,76.875,0.0116004452596438,21,"Svalbard Exclusive Economic Zone"
14.625,76.875,0.012901515604503,21,"Svalbard Exclusive Economic Zone"
14.875,76.875,0.000468506498331409,9397,"Svalbard Exclusive Economic Zone"
12.625,76.625,0.0157771119518647,21,"Svalbard Exclusive Economic Zone"
12.875,76.625,0.0135059197212435,21,"Svalbard Exclusive Economic Zone"
13.625,76.625,0.00166704700155768,21,"Svalbard Exclusive Economic Zone"
13.875,76.625,0.0436220155118467,21,"Svalbard Exclusive Economic Zone"
14.125,76.625,0.0422991102682513,21,"Svalbard Exclusive Economic Zone"
14.375,76.625,0.0809223469696787,21,"Svalbard Exclusive Economic Zone"
14.625,76.625,0.0643027501211545,21,"Svalbard Exclusive Economic Zone"
14.875,76.625,0.0386816116240897,9397,"Svalbard Exclusive Economic Zone"
13.875,76.375,0.278004016531955,21,"Svalbard Exclusive Economic Zone"
14.125,76.375,0.0179041125790471,21,"Svalbard Exclusive Economic Zone"
14.375,76.375,0.00173772986882153,21,"Svalbard Exclusive Economic Zone"
14.625,76.375,0.0533438150951862,9370,"Svalbard Exclusive Economic Zone"
14.875,75.625,0.188118805910352,9370,"Svalbard Exclusive Economic Zone"
15.125,75.625,0.0492591847931837,9370,"Svalbard Exclusive Economic Zone"
15.375,75.625,0.0607457455744999,9370,"Svalbard Exclusive Economic Zone"
15.625,75.625,0.089252043392514,9370,"Svalbard Exclusive Economic Zone"
18.375,75.625,0.102999239084648,9343,"Svalbard Exclusive Economic Zone"
18.625,75.625,0.0628594833459052,9343,"Svalbard Exclusive Economic Zone"
10.125,75.375,0.353013024200831,48,"Svalbard Exclusive Economic Zone"
10.375,75.375,0.276636475584966,48,"Svalbard Exclusive Economic Zone"
14.625,75.375,0.227569101814322,9370,"Svalbard Exclusive Economic Zone"
14.875,75.375,0.0669675123563233,9370,"Svalbard Exclusive Economic Zone"
15.125,75.375,0.156242170456846,9370,"Svalbard Exclusive Economic Zone"
15.375,75.375,0.0326271419180141,9370,"Svalbard Exclusive Economic Zone"
15.625,75.375,0.0859618802942664,9370,"Svalbard Exclusive Economic Zone"
15.875,75.375,0.044966864194641,9370,"Svalbard Exclusive Economic Zone"
18.125,75.375,0.0484876620841105,9343,"Svalbard Exclusive Economic Zone"
18.375,75.375,0.0316637532206032,9343,"Svalbard Exclusive Economic Zone"
18.625,75.375,0.0380967669061171,9343,"Svalbard Exclusive Economic Zone"
18.875,75.375,0.040853557081312,9343,"Svalbard Exclusive Economic Zone"
10.125,75.125,0.340768577063582,48,"Svalbard Exclusive Economic Zone"
10.375,75.125,0.331774688639266,48,"Svalbard Exclusive Economic Zone"
